track_id;people_id
101_1;1578
101_10;0
101_11;0
101_113;0
101_12;0
101_123;2226
101_124;0
101_136;0
101_137;0
101_139;0
101_14;0
101_17;1776
101_177;0
101_18;2101
101_19;1776
101_193;2101
101_2;1530
101_20;0
101_207;2101
101_21;0
101_210;0
101_215;0
101_216;0
101_221;0
101_23;1776
101_231;0
101_232;1530
101_234;0
101_239;0
101_24;2101
101_240;0
101_249;0
101_25;1776
101_250;0
101_251;0
101_252;0
101_253;1530
101_254;0
101_255;0
101_257;0
101_258;0
101_26;0
101_261;0
101_264;0
101_268;1530
101_271;0
101_274;1530
101_277;2101
101_3;0
101_31;1776
101_311;2101
101_316;1530
101_32;2101
101_324;0
101_33;0
101_336;2101
101_34;1776
101_35;1776
101_359;0
101_36;1776
101_38;1776
101_39;0
101_393;2101
101_399;0
101_400;0
101_402;0
101_406;0
101_408;0
101_41;2101
101_42;1776
101_428;2226
101_43;0
101_439;2101
101_443;2226
101_445;2101
101_45;0
101_46;0
101_497;0
101_5;0
101_50;1578
101_531;1578
101_532;1530
101_538;1578
101_54;0
101_542;2226
101_551;2101
101_554;2226
101_57;0
101_584;2226
101_585;2101
101_588;2101
101_589;2226
101_59;0
101_594;2101
101_595;2226
101_597;2226
101_6;2101
101_60;0
101_62;2226
101_627;0
101_644;0
101_660;0
101_662;1578
101_665;0
101_686;2226
101_691;2226
101_692;2101
101_699;0
101_7;1776
101_701;0
101_706;0
101_716;0
101_764;1530
101_773;1530
101_8;0
101_9;0
101_93;1578
102_1;1547
102_11;4534
102_17;4534
102_18;1547
102_2;4534
102_20;1547
102_21;1547
102_24;1547
102_26;1547
102_27;1547
102_28;4534
102_3;1547
102_4;1547
102_46;4534
102_47;1547
102_48;1547
103_1;1524
103_10;0
103_101;1524
103_102;1524
103_11;1524
103_14;0
103_2;1524
103_3;0
103_35;1524
103_36;0
103_4;1524
103_5;0
103_6;1524
103_63;0
103_80;1524
103_81;1524
103_88;0
103_9;0
103_94;0
103_95;1524
103_97;0
110_101;4737
110_109;4737
110_113;4737
110_124;4737
110_127;4737
110_130;637
110_131;637
110_133;4737
110_134;4679
110_135;637
110_143;4741
110_147;637
110_148;4737
110_154;769
110_157;4737
110_160;637
110_165;4737
110_166;769
110_167;4679
110_168;4727
110_170;637
110_171;637
110_173;769
110_181;637
110_184;4741
110_185;4741
110_186;4741
110_187;637
110_188;769
110_189;4727
110_194;2426
110_202;4727
110_205;2426
110_206;4679
110_210;4727
110_211;637
110_212;4679
110_214;769
110_215;2426
110_216;4727
110_218;4727
110_219;769
110_220;769
110_221;2426
110_222;637
110_224;4727
110_225;4679
110_226;4727
110_227;4679
110_228;4727
110_230;4741
110_240;4727
110_241;4737
110_243;4727
110_244;4679
110_246;4741
110_247;2426
110_248;4741
110_250;4741
110_252;637
110_255;4741
110_258;4727
110_259;4679
110_263;4737
110_265;4741
110_266;637
110_267;637
110_273;4727
110_275;4727
110_276;2426
110_277;4741
110_278;4727
110_280;4727
110_283;4741
110_284;2426
110_288;4727
110_294;4727
110_295;4741
110_296;769
110_297;4737
110_298;4679
110_299;637
110_300;0
110_305;637
110_307;0
110_309;637
110_310;4679
110_312;2426
110_313;637
110_314;4727
110_315;637
110_316;769
110_317;637
110_318;2426
110_322;4727
110_323;2426
110_324;4727
110_326;769
110_327;637
110_328;4727
110_331;4679
110_332;2426
110_333;637
110_334;769
110_335;4679
110_336;4727
110_338;4741
110_340;4727
110_345;4741
110_346;4727
110_347;4737
110_348;4741
110_351;769
110_354;4727
110_355;2426
110_356;769
110_359;637
110_361;769
110_365;769
110_366;4727
110_367;637
110_369;769
110_370;769
110_371;769
110_372;637
110_373;4679
110_374;4741
110_375;2426
110_376;4727
110_378;4741
110_379;4727
110_380;4741
110_381;769
110_386;2426
110_387;637
110_388;4727
110_389;4679
110_390;769
110_393;4679
110_398;769
110_400;4679
110_401;2426
110_403;4679
110_404;769
110_405;4741
110_406;4737
110_407;637
110_408;4727
110_41;769
110_410;637
110_414;637
110_415;769
110_417;4679
110_418;769
110_419;637
110_42;4737
110_420;2426
110_421;4727
110_422;0
110_425;0
110_426;0
110_43;637
110_437;4727
110_438;769
110_439;4741
110_44;4741
110_440;4679
110_441;4737
110_442;637
110_444;637
110_449;637
110_45;0
110_450;0
110_452;637
110_453;769
110_455;637
110_456;4741
110_457;637
110_462;4741
110_463;4727
110_465;4737
110_466;4737
110_469;637
110_47;4679
110_470;637
110_472;637
110_473;637
110_474;2426
110_475;4679
110_476;4737
110_478;4727
110_479;637
110_480;0
110_482;4679
110_486;637
110_487;4741
110_489;637
110_49;0
110_491;637
110_492;4679
110_493;4741
110_494;4727
110_495;769
110_496;4737
110_498;4727
110_499;4737
